ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia de mantenimiento correctivo,ID_Registro,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Mes,Horas_Operativas_mean,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
55,434,2020-01-03 06:00:00,Preventivo,1584.8,36,Planta Sur,13,764,83.42,4.16,56827.0,2020-02,62707.0,Motor,Schneider,Y200,503.0,9649
56,417,2020-01-03 07:00:00,Preventivo,8241.07,20,Planta Este,9,769,142.19,3.42,43643.0,2020-02,67313.5,Compresor,Siemens,Z300,677.0,6202
57,191,2020-01-03 08:00:00,Preventivo,4207.79,31,Planta Sur,12,508,117.16,2.99,97530.0,2020-01,97530.0,Compresor,ABB,X100,1915.0,6573
58,459,2020-01-03 09:00:00,Correctivo,8086.42,20,Planta Este,10,422,85.43,0.47,34836.0,2020-01,34836.0,Compresor,ABB,Z300,3352.0,7649
59,369,2020-01-03 10:00:00,Preventivo,4812.4,14,Planta Norte,14,103,75.54,4.3,43741.0,2020-01,43741.0,Compresor,Schneider,Y200,1671.0,8525
60,207,2020-01-03 11:00:00,Preventivo,8549.7,45,Planta Sur,12,333,95.67,3.57,73779.0,2020-01,52420.5,Motor,GE,X100,182.0,904
61,454,2020-01-03 12:00:00,Correctivo,7306.56,46,Planta Sur,12,1460,83.79,3.61,77842.0,2020-03,71584.0,Transformador,GE,Y200,1961.0,2754
62,309,2020-01-03 13:00:00,Preventivo,1668.76,18,Planta Oeste,9,630,70.51,2.39,4455.0,2020-01,4455.0,Generador,ABB,X100,194.0,4061
63,139,2020-01-03 14:00:00,Preventivo,8621.85,35,Planta Este,7,210,68.25,3.93,22876.0,2020-01,22876.0,Compresor,Siemens,Y200,2683.0,2185
64,123,2020-01-03 15:00:00,Correctivo,8233.58,6,Planta Oeste,9,290,118.06,4.86,76090.0,2020-01,75103.33333333333,Generador,ABB,X100,3565.0,7238
65,263,2020-01-03 16:00:00,Correctivo,8559.25,18,Planta Sur,9,875,60.68,4.09,93785.0,2020-02,72275.5,Generador,Schneider,X100,2565.0,9374
66,298,2020-01-03 17:00:00,Correctivo,6772.83,20,Planta Este,9,364,97.98,4.12,43864.0,2020-01,43864.0,Transformador,Siemens,Z300,1881.0,4891
67,360,2020-01-03 18:00:00,Preventivo,2811.68,37,Planta Este,11,33,123.62,2.34,21661.0,2020-01,14542.5,Compresor,Schneider,X100,4932.0,2023
68,90,2020-01-03 19:00:00,Correctivo,3452.69,41,Planta Oeste,14,780,131.59,1.01,52605.0,2020-02,36174.0,Transformador,Schneider,Z300,907.0,5243
69,406,2020-01-03 20:00:00,Preventivo,7079.83,7,Planta Norte,9,329,105.99,0.25,6343.0,2020-01,6343.0,Motor,Siemens,X100,2505.0,1688
70,308,2020-01-03 21:00:00,Preventivo,4135.57,46,Planta Norte,12,309,66.77,4.83,88115.0,2020-01,74965.0,Motor,ABB,Y200,2184.0,8003
71,117,2020-01-03 22:00:00,Correctivo,2739.03,33,Planta Oeste,6,319,148.06,4.96,85231.0,2020-01,85231.0,Motor,GE,X100,2068.0,1824
72,12,2020-01-03 23:00:00,Correctivo,1990.8,22,Planta Norte,11,277,118.31,1.29,29831.0,2020-01,59997.5,Motor,Siemens,Z300,4733.0,3301
73,36,2020-01-04 00:00:00,Correctivo,7410.84,26,Planta Norte,9,307,139.97,4.31,41114.0,2020-01,41114.0,Motor,Siemens,M400,4351.0,3549
74,382,2020-01-04 01:00:00,Correctivo,9106.16,32,Planta Oeste,8,265,95.67,3.32,5794.0,2020-01,53779.66666666666,Motor,Schneider,X100,1965.0,1235
75,350,2020-01-04 02:00:00,Preventivo,4410.96,34,Planta Este,12,448,81.21,4.09,56219.0,2020-01,56219.0,Transformador,Schneider,X100,968.0,2098
76,141,2020-01-04 03:00:00,Correctivo,1459.84,42,Planta Este,13,141,113.87,2.01,68941.0,2020-01,50246.0,Motor,GE,Y200,4459.0,8434
77,75,2020-01-04 04:00:00,Preventivo,3591.48,47,Planta Sur,9,187,55.58,3.45,59101.0,2020-01,60488.0,Transformador,Siemens,M400,1129.0,6842
78,53,2020-01-04 05:00:00,Correctivo,8845.3,44,Planta Sur,13,270,88.64,2.09,86769.0,2020-01,86769.0,Generador,Siemens,Z300,3332.0,6373
79,285,2020-01-04 06:00:00,Preventivo,6675.82,14,Planta Sur,12,524,74.29,4.77,70710.0,2020-01,70710.0,Compresor,Siemens,Y200,756.0,8274
80,161,2020-01-04 07:00:00,Correctivo,1880.66,33,Planta Sur,13,732,103.35,3.9,37071.0,2020-01,37071.0,Motor,ABB,Z300,1706.0,4455
81,262,2020-01-04 08:00:00,Correctivo,9410.5,28,Planta Oeste,7,185,113.38,4.05,98719.0,2020-01,98719.0,Compresor,Schneider,M400,4966.0,7411
82,2,2020-01-04 09:00:00,Correctivo,5276.15,12,Planta Sur,14,82,129.66,0.54,83149.0,2020-01,83149.0,Transformador,Siemens,Y200,75.0,7390
83,274,2020-01-04 10:00:00,Preventivo,1454.1,42,Planta Oeste,12,951,57.59,3.19,59791.0,2020-02,59791.0,Motor,Schneider,Y200,2600.0,2830
84,441,2020-01-04 11:00:00,Preventivo,4513.62,20,Planta Sur,10,124,74.95,4.88,51929.0,2020-01,35582.0,Transformador,ABB,M400,4796.0,9453
85,30,2020-01-04 12:00:00,Preventivo,6706.68,29,Planta Sur,10,569,62.15,3.22,33575.0,2020-01,65010.5,Generador,GE,X100,248.0,865
86,460,2020-01-04 13:00:00,Preventivo,2440.27,15,Planta Sur,7,206,73.28,2.45,44356.0,2020-01,54992.25,Motor,ABB,Z300,1743.0,6195
87,26,2020-01-04 14:00:00,Preventivo,816.51,36,Planta Oeste,8,475,59.78,2.0,57221.0,2020-01,57221.0,Generador,ABB,Z300,7938.125,3605
88,325,2020-01-04 15:00:00,Correctivo,7491.37,39,Planta Oeste,12,838,148.37,2.79,90928.0,2020-02,83315.5,Transformador,ABB,Y200,3158.0,3100
89,383,2020-01-04 16:00:00,Correctivo,2837.78,43,Planta Este,12,158,60.64,1.75,88092.0,2020-01,66979.0,Generador,GE,Z300,1885.0,5439
90,228,2020-01-04 17:00:00,Preventivo,784.03,36,Planta Sur,13,1172,75.57,0.83,61821.0,2020-02,61821.0,Compresor,Siemens,Z300,2569.0,5766
91,214,2020-01-04 18:00:00,Preventivo,4817.39,37,Planta Sur,11,276,80.86,1.57,76798.0,2020-01,76798.0,Transformador,Siemens,X100,2729.0,2209
92,156,2020-01-04 19:00:00,Preventivo,1720.51,20,Planta Norte,12,540,78.72,2.15,54891.0,2020-01,54891.0,Compresor,Schneider,Y200,1568.0,6806
93,286,2020-01-04 20:00:00,Correctivo,9430.6,8,Planta Este,14,677,57.58,3.65,250.0,2020-01,250.0,Generador,GE,Y200,3432.0,8213
94,324,2020-01-04 21:00:00,Correctivo,8590.33,28,Planta Este,8,92,74.82,4.14,10659.0,2020-01,20565.666666666668,Generador,ABB,M400,2102.0,1681
95,296,2020-01-04 22:00:00,Correctivo,5423.41,15,Planta Sur,8,131,104.25,1.55,74227.0,2020-01,51586.857142857145,Compresor,Schneider,X100,1192.0,6299
96,497,2020-01-04 23:00:00,Preventivo,5726.44,27,Planta Este,13,2078,116.3,1.52,55874.0,2020-03,55874.0,Compresor,GE,M400,3296.0,8256
97,49,2020-01-05 00:00:00,Correctivo,776.16,42,Planta Norte,14,253,71.28,2.31,57943.0,2020-01,57943.0,Generador,Schneider,X100,269.0,7647
98,86,2020-01-05 01:00:00,Correctivo,3713.29,33,Planta Oeste,15,91,115.27,2.15,98591.0,2020-01,83221.0,Motor,GE,X100,2519.0,1575
99,315,2020-01-05 02:00:00,Preventivo,3910.68,45,Planta Norte,9,614,82.43,2.83,84748.0,2020-01,84748.0,Motor,ABB,M400,954.0,5662
100,103,2020-01-05 03:00:00,Preventivo,9974.31,2,Planta Este,10,122,126.15,4.58,77604.0,2020-01,37937.5,Motor,Siemens,Y200,1631.0,1616
101,17,2020-01-05 04:00:00,Preventivo,6299.91,17,Planta Norte,6,904,123.53,1.17,75198.0,2020-02,73648.0,Transformador,Schneider,M400,4310.0,8649
102,49,2020-01-05 05:00:00,Correctivo,2426.95,28,Planta Sur,14,253,71.28,2.31,57943.0,2020-01,57943.0,Generador,Schneider,X100,269.0,7647
103,32,2020-01-05 06:00:00,Correctivo,6869.46,4,Planta Norte,6,78,146.62,2.42,15455.0,2020-01,15455.0,Generador,Siemens,M400,3436.0,7039
104,71,2020-01-05 07:00:00,Correctivo,8113.73,26,Planta Este,12,314,146.53,1.94,28439.0,2020-01,28439.0,Transformador,ABB,X100,2617.0,8191
105,305,2020-01-05 08:00:00,Preventivo,8229.95,41,Planta Oeste,10,237,129.27,4.84,85363.0,2020-01,85620.5,Transformador,ABB,Y200,3088.0,6845
106,387,2020-01-05 09:00:00,Correctivo,175.75,3,Planta Sur,11,393,143.06,4.63,58159.0,2020-01,58159.0,Compresor,ABB,X100,1909.0,3043
107,139,2020-01-05 10:00:00,Correctivo,2009.5,30,Planta Este,7,210,68.25,3.93,22876.0,2020-01,22876.0,Compresor,Siemens,Y200,2683.0,2185
108,281,2020-01-05 11:00:00,Correctivo,4808.54,4,Planta Norte,10,4,97.09,3.25,31744.0,2020-01,31744.0,Generador,Schneider,Y200,529.0,7127
109,406,2020-01-05 12:00:00,Correctivo,1063.95,6,Planta Este,9,329,105.99,0.25,6343.0,2020-01,6343.0,Motor,Siemens,X100,2505.0,1688
110,254,2020-01-05 13:00:00,Correctivo,3448.16,16,Planta Sur,11,998,67.15,1.84,8915.0,2020-02,35241.0,Generador,ABB,M400,2796.0,1717
111,100,2020-01-05 14:00:00,Preventivo,3818.79,1,Planta Sur,15,385,148.01,3.27,34257.0,2020-01,34257.0,Compresor,Siemens,X100,7938.125,3160
112,152,2020-01-05 15:00:00,Correctivo,2882.48,28,Planta Norte,12,110,59.77,3.08,11457.0,2020-01,12671.5,Compresor,GE,M400,294.0,2236
113,446,2020-01-05 16:00:00,Preventivo,1680.93,38,Planta Oeste,5,142,72.64,0.11,71054.0,2020-01,71054.0,Compresor,Siemens,Z300,1095.0,1793
114,376,2020-01-05 17:00:00,Correctivo,9930.57,40,Planta Norte,7,214,81.18,3.48,28976.0,2020-01,49133.5,Transformador,Siemens,M400,899.0,3355
115,262,2020-01-05 18:00:00,Preventivo,9991.48,45,Planta Norte,7,185,113.38,4.05,98719.0,2020-01,98719.0,Compresor,Schneider,M400,4966.0,7411
116,131,2020-01-05 19:00:00,Correctivo,9208.93,43,Planta Este,10,29,111.99,1.65,90520.0,2020-01,92396.5,Motor,Schneider,M400,3935.0,6293
117,369,2020-01-05 20:00:00,Preventivo,9935.01,9,Planta Este,14,103,75.54,4.3,43741.0,2020-01,43741.0,Compresor,Schneider,Y200,1671.0,8525
118,147,2020-01-05 21:00:00,Correctivo,9817.89,19,Planta Norte,7,451,121.59,4.1,91927.0,2020-01,65593.75,Transformador,Schneider,Z300,4868.0,9440
119,492,2020-01-05 22:00:00,Preventivo,8207.62,33,Planta Este,7,480,50.93,2.3,40622.0,2020-01,48071.0,Compresor,Schneider,X100,4990.0,4462
120,465,2020-01-05 23:00:00,Preventivo,5008.37,6,Planta Sur,7,248,103.31,3.66,68862.0,2020-01,48650.5,Motor,GE,Z300,7938.125,9518
121,340,2020-01-06 00:00:00,Preventivo,427.96,32,Planta Oeste,11,76,85.04,2.04,78350.0,2020-01,78350.0,Compresor,Schneider,Z300,3000.0,1986
122,195,2020-01-06 01:00:00,Preventivo,1913.52,30,Planta Este,7,93,112.05,1.35,41278.0,2020-01,37607.0,Transformador,Siemens,M400,540.0,8951
123,329,2020-01-06 02:00:00,Correctivo,2339.53,9,Planta Oeste,12,767,54.93,1.19,23410.0,2020-02,23410.0,Compresor,Siemens,Y200,4276.0,6583
124,251,2020-01-06 03:00:00,Correctivo,241.57,15,Planta Norte,13,414,80.47,2.32,59015.0,2020-01,46187.5,Transformador,GE,Z300,2713.0,3142
125,43,2020-01-06 04:00:00,Correctivo,6671.08,6,Planta Oeste,10,348,124.89,4.38,78572.0,2020-01,78572.0,Motor,GE,X100,780.0,5264
126,384,2020-01-06 05:00:00,Preventivo,3742.17,46,Planta Este,12,4024,135.11,2.09,4845.0,2020-06,26937.5,Generador,ABB,M400,1614.0,2364
127,261,2020-01-06 06:00:00,Correctivo,5621.87,43,Planta Oeste,6,562,79.15,4.12,52154.0,2020-01,52154.0,Transformador,ABB,Y200,3674.0,8328
128,179,2020-01-06 07:00:00,Preventivo,9675.6,9,Planta Este,10,1794,106.29,0.91,97362.0,2020-03,97362.0,Generador,Schneider,X100,4059.0,9887
129,22,2020-01-06 08:00:00,Preventivo,3550.05,28,Planta Oeste,9,203,63.59,4.52,52556.0,2020-01,52556.0,Motor,Schneider,Z300,1180.0,4134
130,39,2020-01-06 09:00:00,Preventivo,2463.0,23,Planta Sur,7,457,109.12,4.17,96297.0,2020-01,96297.0,Generador,GE,Z300,478.0,8144
131,449,2020-01-06 10:00:00,Correctivo,4760.21,20,Planta Sur,6,17,106.33,1.57,39026.0,2020-01,39026.0,Generador,Siemens,X100,2395.0,8947
132,270,2020-01-06 11:00:00,Preventivo,9752.48,34,Planta Sur,5,1680,113.21,1.2,28897.0,2020-03,28897.0,Generador,Schneider,X100,2825.0,1283
133,249,2020-01-06 12:00:00,Preventivo,8131.17,47,Planta Oeste,4,19,136.92,1.58,34813.0,2020-01,34813.0,Compresor,Siemens,Z300,3991.0,9920
134,200,2020-01-06 13:00:00,Correctivo,5009.56,43,Planta Norte,8,372,53.31,2.52,62259.0,2020-01,62259.0,Compresor,Schneider,X100,3572.0,6291
135,368,2020-01-06 14:00:00,Preventivo,5824.31,43,Planta Oeste,15,612,62.13,2.21,58389.0,2020-01,72629.5,Generador,Schneider,Y200,633.0,8203
136,226,2020-01-06 15:00:00,Preventivo,7849.95,5,Planta Norte,11,42,132.62,1.93,28520.0,2020-01,28520.0,Compresor,GE,X100,605.0,3503
137,280,2020-01-06 16:00:00,Correctivo,9865.56,3,Planta Este,11,9,63.39,2.78,79244.0,2020-01,79244.0,Transformador,Siemens,X100,2539.0,9026
138,185,2020-01-06 17:00:00,Correctivo,9580.12,34,Planta Este,12,46,121.04,0.16,89849.0,2020-01,89849.0,Compresor,Schneider,Z300,215.0,3803
139,229,2020-01-06 18:00:00,Preventivo,3146.02,2,Planta Este,7,1079,114.18,4.29,51538.0,2020-02,46883.0,Generador,Schneider,M400,3905.0,4079
140,145,2020-01-06 19:00:00,Preventivo,9519.44,16,Planta Sur,11,598,96.61,1.67,84238.0,2020-01,84238.0,Motor,Schneider,Z300,7938.125,8722
141,100,2020-01-06 20:00:00,Preventivo,388.73,17,Planta Oeste,15,385,148.01,3.27,34257.0,2020-01,34257.0,Compresor,Siemens,X100,7938.125,3160
142,19,2020-01-06 21:00:00,Preventivo,6079.31,4,Planta Este,9,155,69.11,1.77,69351.0,2020-01,53950.5,Transformador,ABB,Y200,2175.0,828
143,498,2020-01-06 22:00:00,Preventivo,9595.89,47,Planta Oeste,10,123,130.07,0.37,53524.0,2020-01,53524.0,Generador,Siemens,X100,4231.0,9047
144,43,2020-01-06 23:00:00,Preventivo,4790.67,32,Planta Este,10,348,124.89,4.38,78572.0,2020-01,78572.0,Motor,GE,X100,780.0,5264
145,368,2020-01-07 00:00:00,Correctivo,4881.33,14,Planta Norte,15,612,62.13,2.21,58389.0,2020-01,72629.5,Generador,Schneider,Y200,633.0,8203
146,351,2020-01-07 01:00:00,Preventivo,398.36,38,Planta Norte,12,114,54.82,2.8,25778.0,2020-01,40860.0,Generador,Siemens,X100,4387.0,665
147,357,2020-01-07 02:00:00,Preventivo,7102.2,37,Planta Sur,4,71,85.57,3.44,9892.0,2020-01,33160.5,Motor,Siemens,X100,1895.0,4108
148,17,2020-01-07 03:00:00,Preventivo,1329.37,4,Planta Sur,6,904,123.53,1.17,75198.0,2020-02,73648.0,Transformador,Schneider,M400,4310.0,8649
149,255,2020-01-07 04:00:00,Correctivo,5940.68,23,Planta Norte,10,547,127.48,0.84,61519.0,2020-01,48396.5,Transformador,Siemens,Y200,4850.0,1762
150,53,2020-01-07 05:00:00,Correctivo,9600.99,18,Planta Este,13,270,88.64,2.09,86769.0,2020-01,86769.0,Generador,Siemens,Z300,3332.0,6373
151,108,2020-01-07 06:00:00,Correctivo,1011.02,21,Planta Oeste,8,105,102.52,3.4,95502.0,2020-01,95502.0,Transformador,Siemens,M400,791.0,2011
152,428,2020-01-07 07:00:00,Preventivo,4535.82,5,Planta Oeste,8,200,94.82,4.0,2790.0,2020-01,2790.0,Generador,Schneider,Y200,2895.0,3266
153,166,2020-01-07 08:00:00,Preventivo,9356.12,39,Planta Sur,8,304,148.49,3.83,14734.0,2020-01,52468.66666666666,Transformador,ABB,X100,275.0,7358
154,169,2020-01-07 09:00:00,Preventivo,1198.13,11,Planta Oeste,3,236,144.85,3.21,46970.0,2020-01,60312.0,Compresor,ABB,Z300,233.0,3890
155,206,2020-01-07 10:00:00,Correctivo,9322.92,20,Planta Oeste,4,269,72.81,4.78,51504.0,2020-01,51504.0,Generador,GE,M400,4989.0,4729
156,366,2020-01-07 11:00:00,Correctivo,6967.26,44,Planta Sur,12,156,125.75,4.98,98451.0,2020-01,90376.0,Compresor,GE,Z300,2678.0,9876
157,393,2020-01-07 12:00:00,Preventivo,4556.05,17,Planta Norte,13,784,118.09,0.49,92888.0,2020-02,86524.0,Compresor,ABB,X100,2157.0,9328
158,225,2020-01-07 13:00:00,Preventivo,2021.63,27,Planta Sur,9,181,136.44,0.98,32909.0,2020-01,19085.33333333333,Motor,Schneider,Z300,1484.0,1407
159,361,2020-01-07 14:00:00,Correctivo,6493.01,1,Planta Este,9,96,101.97,1.6,21763.0,2020-01,34952.0,Motor,ABB,Z300,3028.0,8369
160,314,2020-01-07 15:00:00,Preventivo,516.75,41,Planta Este,11,684,95.02,0.98,35357.0,2020-01,35357.0,Transformador,GE,Y200,3653.0,8467
161,420,2020-01-07 16:00:00,Correctivo,3070.25,23,Planta Este,16,691,60.49,1.11,51487.0,2020-01,51487.0,Generador,ABB,M400,1536.0,1999
162,236,2020-01-07 17:00:00,Correctivo,3294.36,24,Planta Sur,15,428,108.26,4.03,16734.0,2020-01,38105.0,Transformador,GE,Y200,100.0,7685
