ID_Equipo,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Frecuencia de mantenimiento correctivo,Temperatura_C,Vibracion_mm_s,Horas_Operativas,Mes,Horas_Operativas_mean,Tipo_Equipo,Potencia_kW,Horas_Recomendadas_Revision,Año_O,Mes_O,Día_O,Horas_Desde_Preventivo
219,0,8338.52,23,10,71.8,1.76,80007.0,1,80007.0,1,464.0,9272,2020,1,3,9657.0
95,0,9906.21,43,9,98.72,2.85,13620.0,1,27367.0,3,1095.0,1294,2020,1,3,9656.0
248,0,6015.87,38,10,95.7,4.2,14286.0,0,14286.0,2,517.0,2802,2020,1,3,9655.0
46,1,412.9,2,10,128.17,2.03,59238.0,1,60741.0,3,3570.0,4326,2020,1,3,4326.0
273,0,4447.83,8,9,59.49,4.64,18341.0,0,51307.66666666666,2,3607.0,6085,2020,1,3,4325.0
130,1,8404.42,17,17,145.01,4.42,70117.0,0,70117.0,0,633.0,7585,2020,1,3,7585.0
434,1,1584.8,36,13,83.42,4.16,56827.0,1,62707.0,2,503.0,9649,2020,1,3,9649.0
417,1,8241.07,20,9,142.19,3.42,43643.0,1,67313.5,0,677.0,6202,2020,1,3,6202.0
191,1,4207.79,31,12,117.16,2.99,97530.0,0,97530.0,0,1915.0,6573,2020,1,3,6573.0
459,0,8086.42,20,10,85.43,0.47,34836.0,0,34836.0,0,3352.0,7649,2020,1,3,6572.0
369,1,4812.4,14,14,75.54,4.3,43741.0,0,43741.0,0,1671.0,8525,2020,1,3,8525.0
207,1,8549.7,45,12,95.67,3.57,73779.0,0,52420.5,2,182.0,904,2020,1,3,904.0
454,0,7306.56,46,12,83.79,3.61,77842.0,2,71584.0,3,1961.0,2754,2020,1,3,903.0
309,1,1668.76,18,9,70.51,2.39,4455.0,0,4455.0,1,194.0,4061,2020,1,3,4061.0
139,1,8621.85,35,7,68.25,3.93,22876.0,0,22876.0,0,2683.0,2185,2020,1,3,2185.0
123,0,8233.58,6,9,118.06,4.86,76090.0,0,75103.33333333333,1,3565.0,7238,2020,1,3,2184.0
263,0,8559.25,18,9,60.68,4.09,93785.0,1,72275.5,1,2565.0,9374,2020,1,3,2183.0
298,0,6772.83,20,9,97.98,4.12,43864.0,0,43864.0,3,1881.0,4891,2020,1,3,2182.0
360,1,2811.68,37,11,123.62,2.34,21661.0,0,14542.5,0,4932.0,2023,2020,1,3,2023.0
90,0,3452.69,41,14,131.59,1.01,52605.0,1,36174.0,3,907.0,5243,2020,1,3,2022.0
406,1,7079.83,7,9,105.99,0.25,6343.0,0,6343.0,2,2505.0,1688,2020,1,3,1688.0
308,1,4135.57,46,12,66.77,4.83,88115.0,0,74965.0,2,2184.0,8003,2020,1,3,8003.0
117,0,2739.03,33,6,148.06,4.96,85231.0,0,85231.0,2,2068.0,1824,2020,1,3,8002.0
12,0,1990.8,22,11,118.31,1.29,29831.0,0,59997.5,2,4733.0,3301,2020,1,3,8001.0
36,0,7410.84,26,9,139.97,4.31,41114.0,0,41114.0,2,4351.0,3549,2020,1,4,8000.0
382,0,9106.16,32,8,95.67,3.32,5794.0,0,53779.66666666666,2,1965.0,1235,2020,1,4,7999.0
350,1,4410.96,34,12,81.21,4.09,56219.0,0,56219.0,3,968.0,2098,2020,1,4,2098.0
141,0,1459.84,42,13,113.87,2.01,68941.0,0,50246.0,2,4459.0,8434,2020,1,4,2097.0
75,1,3591.48,47,9,55.58,3.45,59101.0,0,60488.0,3,1129.0,6842,2020,1,4,6842.0
53,0,8845.3,44,13,88.64,2.09,86769.0,0,86769.0,1,3332.0,6373,2020,1,4,6841.0
285,1,6675.82,14,12,74.29,4.77,70710.0,0,70710.0,0,756.0,8274,2020,1,4,8274.0
161,0,1880.66,33,13,103.35,3.9,37071.0,0,37071.0,2,1706.0,4455,2020,1,4,8273.0
262,0,9410.5,28,7,113.38,4.05,98719.0,0,98719.0,0,4966.0,7411,2020,1,4,8272.0
2,0,5276.15,12,14,129.66,0.54,83149.0,0,83149.0,3,75.0,7390,2020,1,4,8271.0
274,1,1454.1,42,12,57.59,3.19,59791.0,1,59791.0,2,2600.0,2830,2020,1,4,2830.0
441,1,4513.62,20,10,74.95,4.88,51929.0,0,35582.0,3,4796.0,9453,2020,1,4,9453.0
30,1,6706.68,29,10,62.15,3.22,33575.0,0,65010.5,1,248.0,865,2020,1,4,865.0
460,1,2440.27,15,7,73.28,2.45,44356.0,0,54992.25,2,1743.0,6195,2020,1,4,6195.0
26,1,816.51,36,8,59.78,2.0,57221.0,0,57221.0,1,7938.125,3605,2020,1,4,3605.0
325,0,7491.37,39,12,148.37,2.79,90928.0,1,83315.5,3,3158.0,3100,2020,1,4,3604.0
383,0,2837.78,43,12,60.64,1.75,88092.0,0,66979.0,1,1885.0,5439,2020,1,4,3603.0
228,1,784.03,36,13,75.57,0.83,61821.0,1,61821.0,0,2569.0,5766,2020,1,4,5766.0
214,1,4817.39,37,11,80.86,1.57,76798.0,0,76798.0,3,2729.0,2209,2020,1,4,2209.0
156,1,1720.51,20,12,78.72,2.15,54891.0,0,54891.0,0,1568.0,6806,2020,1,4,6806.0
286,0,9430.6,8,14,57.58,3.65,250.0,0,250.0,1,3432.0,8213,2020,1,4,6805.0
324,0,8590.33,28,8,74.82,4.14,10659.0,0,20565.666666666668,1,2102.0,1681,2020,1,4,6804.0
296,0,5423.41,15,8,104.25,1.55,74227.0,0,51586.857142857145,0,1192.0,6299,2020,1,4,6803.0
497,1,5726.44,27,13,116.3,1.52,55874.0,2,55874.0,0,3296.0,8256,2020,1,4,8256.0
49,0,776.16,42,14,71.28,2.31,57943.0,0,57943.0,1,269.0,7647,2020,1,5,8255.0
86,0,3713.29,33,15,115.27,2.15,98591.0,0,83221.0,2,2519.0,1575,2020,1,5,8254.0
315,1,3910.68,45,9,82.43,2.83,84748.0,0,84748.0,2,954.0,5662,2020,1,5,5662.0
103,1,9974.31,2,10,126.15,4.58,77604.0,0,37937.5,2,1631.0,1616,2020,1,5,1616.0
17,1,6299.91,17,6,123.53,1.17,75198.0,1,73648.0,3,4310.0,8649,2020,1,5,8649.0
49,0,2426.95,28,14,71.28,2.31,57943.0,0,57943.0,1,269.0,7647,2020,1,5,8648.0
32,0,6869.46,4,6,146.62,2.42,15455.0,0,15455.0,1,3436.0,7039,2020,1,5,8647.0
71,0,8113.73,26,12,146.53,1.94,28439.0,0,28439.0,3,2617.0,8191,2020,1,5,8646.0
305,1,8229.95,41,10,129.27,4.84,85363.0,0,85620.5,3,3088.0,6845,2020,1,5,6845.0
387,0,175.75,3,11,143.06,4.63,58159.0,0,58159.0,0,1909.0,3043,2020,1,5,6844.0
139,0,2009.5,30,7,68.25,3.93,22876.0,0,22876.0,0,2683.0,2185,2020,1,5,6843.0
281,0,4808.54,4,10,97.09,3.25,31744.0,0,31744.0,1,529.0,7127,2020,1,5,6842.0
406,0,1063.95,6,9,105.99,0.25,6343.0,0,6343.0,2,2505.0,1688,2020,1,5,6841.0
254,0,3448.16,16,11,67.15,1.84,8915.0,1,35241.0,1,2796.0,1717,2020,1,5,6840.0
100,1,3818.79,1,15,148.01,3.27,34257.0,0,34257.0,0,7938.125,3160,2020,1,5,3160.0
152,0,2882.48,28,12,59.77,3.08,11457.0,0,12671.5,0,294.0,2236,2020,1,5,3159.0
446,1,1680.93,38,5,72.64,0.11,71054.0,0,71054.0,0,1095.0,1793,2020,1,5,1793.0
376,0,9930.57,40,7,81.18,3.48,28976.0,0,49133.5,3,899.0,3355,2020,1,5,1792.0
262,1,9991.48,45,7,113.38,4.05,98719.0,0,98719.0,0,4966.0,7411,2020,1,5,7411.0
131,0,9208.93,43,10,111.99,1.65,90520.0,0,92396.5,2,3935.0,6293,2020,1,5,7410.0
369,1,9935.01,9,14,75.54,4.3,43741.0,0,43741.0,0,1671.0,8525,2020,1,5,8525.0
147,0,9817.89,19,7,121.59,4.1,91927.0,0,65593.75,3,4868.0,9440,2020,1,5,8524.0
492,1,8207.62,33,7,50.93,2.3,40622.0,0,48071.0,0,4990.0,4462,2020,1,5,4462.0
465,1,5008.37,6,7,103.31,3.66,68862.0,0,48650.5,2,7938.125,9518,2020,1,5,9518.0
340,1,427.96,32,11,85.04,2.04,78350.0,0,78350.0,0,3000.0,1986,2020,1,6,1986.0
195,1,1913.52,30,7,112.05,1.35,41278.0,0,37607.0,3,540.0,8951,2020,1,6,8951.0
329,0,2339.53,9,12,54.93,1.19,23410.0,1,23410.0,0,4276.0,6583,2020,1,6,8950.0
251,0,241.57,15,13,80.47,2.32,59015.0,0,46187.5,3,2713.0,3142,2020,1,6,8949.0
43,0,6671.08,6,10,124.89,4.38,78572.0,0,78572.0,2,780.0,5264,2020,1,6,8948.0
384,1,3742.17,46,12,135.11,2.09,4845.0,5,26937.5,1,1614.0,2364,2020,1,6,2364.0
261,0,5621.87,43,6,79.15,4.12,52154.0,0,52154.0,3,3674.0,8328,2020,1,6,2363.0
179,1,9675.6,9,10,106.29,0.91,97362.0,2,97362.0,1,4059.0,9887,2020,1,6,9887.0
22,1,3550.05,28,9,63.59,4.52,52556.0,0,52556.0,2,1180.0,4134,2020,1,6,4134.0
39,1,2463.0,23,7,109.12,4.17,96297.0,0,96297.0,1,478.0,8144,2020,1,6,8144.0
449,0,4760.21,20,6,106.33,1.57,39026.0,0,39026.0,1,2395.0,8947,2020,1,6,8143.0
270,1,9752.48,34,5,113.21,1.2,28897.0,2,28897.0,1,2825.0,1283,2020,1,6,1283.0
249,1,8131.17,47,4,136.92,1.58,34813.0,0,34813.0,0,3991.0,9920,2020,1,6,9920.0
200,0,5009.56,43,8,53.31,2.52,62259.0,0,62259.0,0,3572.0,6291,2020,1,6,9919.0
368,1,5824.31,43,15,62.13,2.21,58389.0,0,72629.5,1,633.0,8203,2020,1,6,8203.0
226,1,7849.95,5,11,132.62,1.93,28520.0,0,28520.0,0,605.0,3503,2020,1,6,3503.0
280,0,9865.56,3,11,63.39,2.78,79244.0,0,79244.0,3,2539.0,9026,2020,1,6,3502.0
185,0,9580.12,34,12,121.04,0.16,89849.0,0,89849.0,0,215.0,3803,2020,1,6,3501.0
229,1,3146.02,2,7,114.18,4.29,51538.0,1,46883.0,1,3905.0,4079,2020,1,6,4079.0
145,1,9519.44,16,11,96.61,1.67,84238.0,0,84238.0,2,7938.125,8722,2020,1,6,8722.0
100,1,388.73,17,15,148.01,3.27,34257.0,0,34257.0,0,7938.125,3160,2020,1,6,3160.0
19,1,6079.31,4,9,69.11,1.77,69351.0,0,53950.5,3,2175.0,828,2020,1,6,828.0
498,1,9595.89,47,10,130.07,0.37,53524.0,0,53524.0,1,4231.0,9047,2020,1,6,9047.0
43,1,4790.67,32,10,124.89,4.38,78572.0,0,78572.0,2,780.0,5264,2020,1,6,5264.0
368,0,4881.33,14,15,62.13,2.21,58389.0,0,72629.5,1,633.0,8203,2020,1,7,5263.0
351,1,398.36,38,12,54.82,2.8,25778.0,0,40860.0,1,4387.0,665,2020,1,7,665.0
357,1,7102.2,37,4,85.57,3.44,9892.0,0,33160.5,2,1895.0,4108,2020,1,7,4108.0
17,1,1329.37,4,6,123.53,1.17,75198.0,1,73648.0,3,4310.0,8649,2020,1,7,8649.0
255,0,5940.68,23,10,127.48,0.84,61519.0,0,48396.5,3,4850.0,1762,2020,1,7,8648.0
53,0,9600.99,18,13,88.64,2.09,86769.0,0,86769.0,1,3332.0,6373,2020,1,7,8647.0
108,0,1011.02,21,8,102.52,3.4,95502.0,0,95502.0,3,791.0,2011,2020,1,7,8646.0
428,1,4535.82,5,8,94.82,4.0,2790.0,0,2790.0,1,2895.0,3266,2020,1,7,3266.0
166,1,9356.12,39,8,148.49,3.83,14734.0,0,52468.66666666666,3,275.0,7358,2020,1,7,7358.0
169,1,1198.13,11,3,144.85,3.21,46970.0,0,60312.0,0,233.0,3890,2020,1,7,3890.0
206,0,9322.92,20,4,72.81,4.78,51504.0,0,51504.0,1,4989.0,4729,2020,1,7,3889.0
366,0,6967.26,44,12,125.75,4.98,98451.0,0,90376.0,0,2678.0,9876,2020,1,7,3888.0
393,1,4556.05,17,13,118.09,0.49,92888.0,1,86524.0,0,2157.0,9328,2020,1,7,9328.0
225,1,2021.63,27,9,136.44,0.98,32909.0,0,19085.33333333333,2,1484.0,1407,2020,1,7,1407.0
361,0,6493.01,1,9,101.97,1.6,21763.0,0,34952.0,2,3028.0,8369,2020,1,7,1406.0
314,1,516.75,41,11,95.02,0.98,35357.0,0,35357.0,3,3653.0,8467,2020,1,7,8467.0
420,0,3070.25,23,16,60.49,1.11,51487.0,0,51487.0,1,1536.0,1999,2020,1,7,8466.0
236,0,3294.36,24,15,108.26,4.03,16734.0,0,38105.0,3,100.0,7685,2020,1,7,8465.0
346,0,3487.94,1,10,62.69,3.15,80792.0,2,59437.0,3,2072.0,1423,2020,1,7,8464.0
464,1,1637.41,46,12,92.4,3.74,84390.0,0,52348.0,1,4412.0,1491,2020,1,7,1491.0
12,1,9171.74,30,11,118.31,1.29,29831.0,0,59997.5,2,4733.0,3301,2020,1,7,3301.0
363,1,6384.32,34,14,96.6,0.12,70425.0,0,70425.0,2,163.0,1073,2020,1,7,1073.0
221,0,8439.43,47,13,78.05,1.0,47905.0,0,52364.5,3,4406.0,1237,2020,1,7,1072.0
357,0,2282.61,1,4,85.57,3.44,9892.0,0,33160.5,2,1895.0,4108,2020,1,7,1071.0
205,1,7982.68,28,8,80.69,0.24,99515.0,1,99515.0,1,4134.0,8924,2020,1,8,8924.0
492,0,8930.1,10,7,50.93,2.3,40622.0,0,48071.0,0,4990.0,4462,2020,1,8,8923.0
78,1,8122.66,45,10,118.58,1.43,71207.0,0,58112.0,1,4194.0,7519,2020,1,8,7519.0
303,1,4714.05,8,9,146.26,3.8,61348.0,0,40086.0,0,3407.0,5079,2020,1,8,5079.0
481,0,14988.43,20,7,53.23,0.67,59349.0,1,59349.0,3,1924.0,1963,2020,1,8,5078.0
397,1,6099.13,47,8,120.37,2.42,65314.0,1,54974.5,0,2707.0,5146,2020,1,8,5146.0
199,0,9760.57,2,11,102.16,3.16,50348.0,0,28653.0,2,742.0,4856,2020,1,8,5145.0
498,1,3238.18,33,10,130.07,0.37,53524.0,0,53524.0,1,4231.0,9047,2020,1,8,9047.0
350,0,4559.66,36,12,81.21,4.09,56219.0,0,56219.0,3,968.0,2098,2020,1,8,9046.0
151,0,4556.69,43,7,113.15,2.11,90374.0,0,48638.0,2,4152.0,3183,2020,1,8,9045.0
247,1,7232.46,2,11,105.06,2.46,91036.0,0,69431.5,2,2601.0,8640,2020,1,8,8640.0
345,0,314.82,45,9,110.9,0.23,22343.0,0,16865.5,0,3111.0,4591,2020,1,8,8639.0
119,0,2020.05,5,8,86.67,0.28,27022.0,1,27022.0,1,2780.0,4535,2020,1,8,8638.0
147,1,9307.19,2,7,121.59,4.1,91927.0,0,65593.75,3,4868.0,9440,2020,1,8,9440.0
23,0,7324.49,10,6,99.73,0.92,30431.0,0,49022.5,0,3918.0,1988,2020,1,8,9439.0
172,0,311.67,27,15,60.43,3.1,43241.0,0,43241.0,0,4929.0,5941,2020,1,8,9438.0
11,0,2651.16,19,11,66.31,4.86,14593.0,0,16267.0,3,2374.0,2922,2020,1,8,9437.0
156,1,2406.67,37,12,78.72,2.15,54891.0,0,54891.0,0,1568.0,6806,2020,1,8,6806.0
250,1,3733.41,24,8,77.15,3.79,45252.0,0,55942.0,2,4517.0,7069,2020,1,8,7069.0
187,0,225.57,46,11,123.66,2.97,82619.0,0,82619.0,0,768.0,7515,2020,1,8,7068.0
38,1,1010.95,9,5,81.89,0.31,58984.0,2,47051.66666666666,2,7938.125,3190,2020,1,8,3190.0
406,0,3874.57,36,9,105.99,0.25,6343.0,0,6343.0,2,2505.0,1688,2020,1,8,3189.0
439,1,5727.5,26,8,110.06,3.34,24251.0,0,24251.0,2,4447.0,2041,2020,1,8,2041.0
15,1,6248.36,12,6,149.62,1.25,91853.0,0,48471.75,1,825.0,7850,2020,1,8,7850.0
47,1,980.77,23,7,92.51,3.94,19283.0,0,42355.0,2,1883.0,9004,2020,1,9,9004.0
133,0,1618.02,42,6,92.88,2.26,99542.0,0,63689.5,1,347.0,8833,2020,1,9,9003.0
496,0,731.37,46,8,136.39,3.17,6283.0,0,41369.0,3,544.0,3331,2020,1,9,9002.0
220,1,1166.49,32,12,83.62,0.23,52234.0,0,35779.666666666664,0,4546.0,2061,2020,1,9,2061.0
95,1,2899.47,36,9,98.72,2.85,13620.0,1,27367.0,3,1095.0,1294,2020,1,9,1294.0
373,0,1700.31,29,15,83.23,3.53,76433.0,0,40715.0,0,2074.0,6712,2020,1,9,1293.0
361,0,6771.74,28,9,101.97,1.6,21763.0,0,34952.0,2,3028.0,8369,2020,1,9,1292.0
342,0,6754.21,39,13,80.6,3.81,8483.0,0,8483.0,2,4223.0,1741,2020,1,9,1291.0
432,1,1143.77,15,12,124.81,3.55,81946.0,0,65781.0,1,2986.0,7395,2020,1,9,7395.0
232,0,5134.28,5,14,125.68,4.3,60195.0,0,60195.0,0,2576.0,5610,2020,1,9,7394.0
82,1,7461.53,15,12,140.12,0.52,61018.0,0,32086.666666666668,1,3786.0,9495,2020,1,9,9495.0
157,0,6195.3,37,15,75.92,1.79,10616.0,0,49280.333333333336,2,4523.0,3637,2020,1,9,9494.0
198,1,2329.55,43,10,85.92,3.34,66313.0,0,63205.0,2,946.0,6127,2020,1,9,6127.0
128,1,4831.59,40,7,73.94,0.18,21595.0,0,53722.0,2,3461.0,7529,2020,1,9,7529.0
429,0,6725.47,24,5,126.94,2.96,46044.0,0,22564.0,0,3119.0,1099,2020,1,9,7528.0
160,1,3130.06,13,13,82.38,0.46,97342.0,0,73477.0,2,2945.0,3638,2020,1,9,3638.0
110,1,7036.04,31,8,79.44,4.94,82764.0,0,75784.0,3,2838.0,5809,2020,1,9,5809.0
158,0,5597.17,3,9,72.38,0.44,94305.0,0,81999.0,1,4082.0,6958,2020,1,9,5808.0
465,1,8332.02,35,7,103.31,3.66,68862.0,0,48650.5,2,7938.125,9518,2020,1,9,9518.0
362,1,7851.06,18,8,75.93,4.36,51676.0,0,51676.0,3,4333.0,3246,2020,1,9,3246.0
103,1,2305.82,30,10,114.1,3.36,2737.0,0,37937.5,2,1631.0,1616,2020,1,9,1616.0
237,1,5102.33,22,12,106.74,3.5,73352.0,0,82064.0,3,3479.0,3874,2020,1,9,3874.0
96,1,1457.2,38,13,63.92,3.4,75285.0,0,75285.0,3,4004.0,1119,2020,1,9,1119.0
481,1,2182.62,40,7,53.23,0.67,59349.0,1,59349.0,3,1924.0,1963,2020,1,9,1963.0
163,1,6250.07,19,7,67.98,3.54,16854.0,0,16854.0,1,1337.0,2989,2020,1,10,2989.0
266,1,805.24,16,11,148.28,3.43,7202.0,1,27957.5,1,2363.0,5881,2020,1,10,5881.0
350,1,8816.56,28,12,81.21,4.09,56219.0,0,56219.0,3,968.0,2098,2020,1,10,2098.0
476,0,5219.75,8,14,62.78,2.07,33831.0,0,33831.0,0,1626.0,9660,2020,1,10,2097.0
448,1,6144.67,17,13,102.17,0.83,53665.0,1,53665.0,1,3877.0,7529,2020,1,10,7529.0
340,0,2296.79,41,11,85.04,2.04,78350.0,0,78350.0,0,3000.0,1986,2020,1,10,7528.0
392,1,6125.55,14,16,144.1,1.22,37710.0,0,37710.0,3,1307.0,9099,2020,1,10,9099.0
319,1,3208.28,1,10,54.75,0.37,8607.0,1,35929.5,0,2824.0,4147,2020,1,10,4147.0
217,0,5284.78,26,12,123.29,0.33,72708.0,0,72708.0,0,4783.0,5133,2020,1,10,4146.0
415,1,6765.18,45,11,80.84,2.42,56554.0,0,56554.0,2,2000.0,7703,2020,1,10,7703.0
416,0,9052.41,10,13,78.69,0.53,96567.0,1,96567.0,1,1900.0,9643,2020,1,10,7702.0
206,1,3220.0,12,4,72.81,4.78,51504.0,0,51504.0,1,4989.0,4729,2020,1,10,4729.0
350,0,7786.86,2,12,81.21,4.09,56219.0,0,56219.0,3,968.0,2098,2020,1,10,4728.0
236,1,9820.18,16,15,108.26,4.03,16734.0,0,38105.0,3,100.0,7685,2020,1,10,7685.0
82,0,6802.48,34,12,140.12,0.52,61018.0,0,32086.666666666668,1,3786.0,9495,2020,1,10,7684.0
82,0,7976.79,43,12,140.12,0.52,61018.0,0,32086.666666666668,1,3786.0,9495,2020,1,10,7683.0
257,1,5990.85,20,7,68.39,1.27,82354.0,0,82354.0,3,695.0,8247,2020,1,10,8247.0
142,0,3128.25,37,10,123.3,1.12,40845.0,0,40845.0,0,1652.0,8840,2020,1,10,8246.0
165,0,2478.0,5,9,123.06,4.29,29132.0,1,20442.0,3,1806.0,9335,2020,1,10,8245.0
242,1,4922.86,37,4,55.2,3.23,81948.0,1,81948.0,3,1958.0,9066,2020,1,10,9066.0
119,0,4554.89,22,8,86.67,0.28,27022.0,1,27022.0,1,2780.0,4535,2020,1,10,9065.0
372,1,8680.24,20,13,120.92,3.01,98872.0,0,98872.0,0,4925.0,7358,2020,1,10,7358.0
250,1,5525.28,36,8,77.15,3.79,45252.0,0,55942.0,2,4517.0,7069,2020,1,10,7069.0
410,0,5989.86,41,12,100.63,0.74,46991.0,0,51464.5,0,4265.0,5663,2020,1,11,7068.0
194,1,2597.35,27,12,93.88,2.85,79051.0,0,79051.0,2,4898.0,7838,2020,1,11,7838.0
274,1,1767.73,26,12,57.59,3.19,59791.0,1,59791.0,2,2600.0,2830,2020,1,11,2830.0
26,1,5309.19,25,8,59.78,2.0,57221.0,0,57221.0,1,7938.125,3605,2020,1,11,3605.0
196,0,1520.9,39,13,75.95,1.78,52971.0,0,52971.0,3,3710.0,6636,2020,1,11,3604.0
113,1,230.35,4,9,87.4,4.39,55785.0,1,55785.0,0,216.0,5122,2020,1,11,5122.0
46,0,2039.69,36,10,128.17,2.03,59238.0,1,60741.0,3,3570.0,4326,2020,1,11,5121.0
215,0,591.17,5,10,126.45,3.89,26199.0,0,22256.5,2,-100.0,1243,2020,1,11,5120.0
424,0,3215.2,20,11,71.22,1.09,52346.0,0,52346.0,2,1380.0,4385,2020,1,11,5119.0
475,1,3107.8,47,8,134.35,0.75,19810.0,5,49987.5,0,1865.0,1751,2020,1,11,1751.0
